core LdRS Core 01,Depth (m),REAL DEPTH,Age (cal yr BP),Chironomid Indet,Micropsectra radialis,Micropsectra insignilobus,Micropsectra junci,Micropsectra contracta,Orthocladiinae indet.,Orthocladius cf.,Cricotopus bicintus type,Cricotopus cf.,Chironomus plumosus type,Chironomus anthracinus type,Corynoneura arctica type,Diamesa zernyi type,Diamesa bertrami type,Pseudodiamesa,Psectroclaudius sordidelus,Psectroclaudius (Allopsectroclaudius) flavus type ,Heterotrissocladius marcidus ,Metriocnemus eurynotus-type,Total
,,0.25,-55.5,,,,,,,,,,,,,,,,,,,,
,,1.75,-40.5,,,,,,,,,,,,,,,,,,,,
,,3.75,-20.5,,,,,,,,,,,,,,,,,,,,
,,5.75,-0.5,,,,,,,,,,,,,,,,,,,,
,,7.75,25.5,,,,,,,,,,,,,,,,,,,,
,,9.75,52,,,,,,,,,,,,,,,,,,,,
,,11.75,78.5,,,,,,,,,,,,,,,,,,,,
,,13.75,105.5,,,,,,,,,,,,,,,,,,,,
,,15.75,132,,,,,,,,,,,,,,,,,,,,
,,17.75,155,,,,,,,,,,,,,,,,,,,,
Dr. 01a,11-12,12.65,475.5,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,74,0,0,1,100
Dr. 01a,13-14,15.55,874.5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,148
Dr. 01a,16-17,19.9,1263.5,0,27,0,0,0,0,0,0,0,0,0,34,1,0,0,119,0,0,0,181
Dr. 01a,17-18,21.3,1409,0,24,0,0,0,0,0,0,0,0,0,14,0,0,0,78,0,0,0,116
Dr. 01a,20-21,22.75,1572,0,54,0,0,0,0,0,0,0,0,0,8,0,0,0,120,0,0,0,182
Dr. 01a,21-22,24.2,1726,0,15,0,0,0,0,0,0,0,0,0,8,0,0,0,67,0,0,0,90
Dr. 01a,22-23,25.65,1872,0,16,0,0,0,0,1,0,1,0,0,19,0,0,0,110,0,0,0,147
Dr. 01a,25-26,30,2281,0,9,0,0,0,0,0,0,0,0,0,54,0,0,0,108,0,0,1,172
Dr. 01a,30-31,34.2,2575,1,15,0,0,0,0,0,0,0,0,0,46,0,0,0,88,0,0,0,150
Dr. 01a,33-34,37.65,2808.5,0,15,0,0,0,0,0,0,0,0,0,51,0,0,0,100,0,0,1,167
Dr. 01a,35-36,39.95,2976.5,0,2,0,0,0,0,0,0,0,0,0,45,0,0,0,61,0,0,0,108
Dr. 01a,37-38,42.25,3127,1,4,0,0,0,0,0,0,0,0,0,84,0,0,0,110,0,0,0,199
Dr. 01a,40-41,45.7,3365.5,0,4,0,0,0,0,0,0,0,0,0,46,0,0,0,106,0,0,0,156
Dr. 01a,43-44,49.2,3643,1,4,0,0,0,0,0,0,0,0,0,91,0,0,0,107,0,0,0,203
Dr. 01a,46-47,52.65,3830.5,1,3,0,0,1,0,0,0,0,0,0,46,0,0,0,135,0,0,0,186
Dr. 01b,50-51,57.25,4034,1,6,0,0,0,0,0,0,0,0,0,65,0,0,0,83,1,0,1,157
Dr. 01b ,53-54,60.75,4174.5,1,3,0,0,0,0,0,0,0,0,0,50,0,0,0,107,0,0,0,161
Dr. 01b,55-56,63.05,4271,0,3,0,0,0,0,0,0,0,0,0,17,1,0,0,75,0,0,0,96
Dr. 01b,57-58,65.35,4369.5,0,7,0,0,0,0,0,0,0,0,0,32,0,0,0,86,0,0,0,125
Dr. 01b,60-61,68.8,4538.5,1,3,0,0,0,0,0,0,0,0,0,15,0,0,0,126,0,0,0,145
Dr. 01b,64-65,73.45,4868,0,9,0,0,0,0,0,0,0,0,0,28,0,0,0,104,1,0,1,143
Dr. 01b,67-68,76.9,5170.5,0,3,0,0,0,0,0,0,0,0,0,74,0,0,0,52,0,0,0,129
Dr. 01b,70-71,80.5,5517.5,0,3,0,0,0,0,0,0,0,0,0,61,0,0,0,109,1,0,0,174
Dr. 01b,72-73,83.4,5758,1,3,0,0,0,0,0,0,0,0,0,8,0,0,0,70,0,0,0,82
Dr. 01b,75-76,87.75,6057.5,0,1,0,0,0,0,0,0,0,0,0,43,0,0,0,49,0,0,0,93
Dr. 01b,80-81,91.9,6250,0,9,0,0,0,0,0,0,0,0,0,48,0,0,0,106,3,0,0,166
Dr. 01b,84-85,96.55,6423,0,6,1,0,0,0,0,0,0,0,0,22,0,0,0,66,1,0,0,96
Dr. 01b,87-88,99.7,6596,0,2,0,0,0,0,0,0,0,0,0,43,0,0,0,71,2,0,0,118
Dr. 02 ,2-3,102.6,6779,2,5,0,0,0,0,0,0,0,0,0,78,0,0,0,67,6,0,0,158
Dr. 02,4-5,104.65,6921,0,2,0,0,0,0,0,0,0,0,0,26,0,0,0,75,1,0,0,104
Dr. 02,6-7,106.7,7023,3,6,0,0,0,0,0,0,0,1,0,30,0,1,0,82,1,0,0,124
Dr. 02,8-9,108.8,7136.5,0,5,0,0,0,0,0,0,0,2,0,35,0,0,0,41,3,0,1,87
Dr. 02,10-11,110.8,7205.5,1,22,0,0,0,1,0,0,0,13,0,68,0,0,0,75,4,0,0,184
Dr. 02,13-14,113.9,7244,0,4,0,0,0,0,0,0,0,6,0,31,1,0,0,42,4,0,0,88
Dr. 02,14-15,114.95,7260,1,3,0,0,0,0,0,0,0,4,0,26,1,0,0,57,4,0,0,96
Dr. 02,16-17,117,7297.5,0,4,0,0,0,0,0,0,0,1,0,69,0,0,0,58,1,1,0,134
Dr. 02,18-19,119.1,7349,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,55,0,1,1,90
Dr. 02,20-21,121.15,7397.5,0,3,0,1,0,0,0,0,0,0,0,76,0,0,0,73,2,2,1,158
Dr. 02,23-24,124.25,7460,2,9,0,0,0,0,0,0,0,3,0,17,0,1,0,59,6,0,0,97
Dr. 02,25-26,126.3,7629,0,2,0,0,0,0,0,0,0,2,0,36,0,0,0,60,3,0,1,104
Dr. 02,27-28,128.35,7866,1,12,0,0,0,0,0,1,0,5,0,35,0,0,0,40,5,0,1,100
Dr. 02,30-31,131.45,8572.5,0,14,0,0,0,0,0,0,0,6,1,18,0,0,0,34,1,1,0,75
Dr. 03,1-2,134.5,9653.5,0,84,0,0,0,0,0,0,0,0,0,1,0,0,0,12,7,0,0,104
Dr. 03,3-4,136.5,12828,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
Dr. 03,6-7,139.5,18840,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,68
Dr. 03,10-11,143.5,20700,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Dr. 03,11-12,144.5,20800,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,19
Dr. 03,13-14,146.5,20900,0,82,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,1,0,94
