Taxa,Depth below sediment water interface (cm)
Mentum,1040.5
Mentum,1040.5
Fragmented hc,1040.5
Fragmented hc,1040.5
Fragmented hc,1040.5
Fragmented hc,1040.5
Fragmented hc,1040.5
Fragmented hc,1040.5
Fragmented hc,1040.5
Fragmented hc,1040.5
Fragmented hc,1040.5
Fragmented hc,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Fragmented hc,1040.5
Fragmented hc,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Particles,1040.5
Particles,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Chaoborus mandible,1040.5
Chaoborus mandible,1040.5
Fragmented hc,1040.5
Fragmented hc,1040.5
Acari spp,1040.5
Acari spp,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Acari spp,1040.5
Acari spp,1040.5
unsure,1040.5
unsure,1040.5
Fragmented hc,1040.5
Fragmented hc,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Diatom,1040.5
Diatom,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Fragmented hc,1040.5
Fragmented hc,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Tanypodinae,1040.5
Tanypodinae,1040.5
Acari spp,1040.5
Acari spp,1040.5
Tanytarsus spp,1040.5
Tanytarsus spp,1040.5
Acari spp,1040.5
Acari spp,1040.5
unsure,1040.5
unsure,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Acari spp,1040.5
Acari spp,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Micropsectra insignilobus,1040.5
Micropsectra insignilobus,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Acari spp,1040.5
Acari spp,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Blurry specimens,1040.5
Acari spp,1040.5
Acari spp,1040.5
Blurry specimens,1040.5
