dataset,label,n
Laguna de Rio Seco,Acari spp,4
Laguna de Rio Seco,Background,1479
Laguna de Rio Seco,Blurry specimens,240
Laguna de Rio Seco,Chaoborus mandible,5
Laguna de Rio Seco,Chaoborus th,2
Laguna de Rio Seco,Chironomus spp,12
Laguna de Rio Seco,Corynoneura spp,502
Laguna de Rio Seco,Diatom,39
Laguna de Rio Seco,Fragmented hc,869
Laguna de Rio Seco,Heterotrissocladius marcidus,18
Laguna de Rio Seco,Limnophyes type,1
Laguna de Rio Seco,Mandible,61
Laguna de Rio Seco,Mentum,1
Laguna de Rio Seco,Micropsectra insignilobus,1
Laguna de Rio Seco,Micropsectra radialis,429
Laguna de Rio Seco,Microtendipes pedellus,1
Laguna de Rio Seco,Multiple,120
Laguna de Rio Seco,Orthocladiinae Diamesinae,35
Laguna de Rio Seco,Paratanytarsus austriacus,2
Laguna de Rio Seco,Particles,1365
Laguna de Rio Seco,Pentaneurini spp,12
Laguna de Rio Seco,Pollen,935
Laguna de Rio Seco,Psectrocladius spp,1051
Laguna de Rio Seco,Tanypodinae,35
Laguna de Rio Seco,Tanytarsus lugens,4
Laguna de Rio Seco,Tanytarsus spp,2
Laguna de Rio Seco,others,1
Laguna de Rio Seco,unsure,31
Hijkermeer,Acari spp,422
Hijkermeer,Background,231
Hijkermeer,Blurry specimens,1075
Hijkermeer,Chaoborus mandible,46
Hijkermeer,Chaoborus th,2
Hijkermeer,Chironomus spp,222
Hijkermeer,Corynoneura spp,31
Hijkermeer,Diatom,15
Hijkermeer,Dicrotendipes spp,20
Hijkermeer,Fragmented hc,584
Hijkermeer,Heterotrissocladius marcidus,4
Hijkermeer,Limnophyes type,111
Hijkermeer,Mandible,21
Hijkermeer,Mentum,171
Hijkermeer,Micropsectra insignilobus,183
Hijkermeer,Micropsectra radialis,8
Hijkermeer,Microtendipes pedellus,1191
Hijkermeer,Multiple,176
Hijkermeer,Orthocladiinae Diamesinae,5
Hijkermeer,Paratanytarsus austriacus,106
Hijkermeer,Particles,284
Hijkermeer,Pollen,5
Hijkermeer,Polypedilum spp,60
Hijkermeer,Psectrocladius spp,60
Hijkermeer,Pseudochironomus spp,102
Hijkermeer,Stictochironomus rosenschoeldi,47
Hijkermeer,Tanypodinae,44
Hijkermeer,Tanytarsus lugens,202
Hijkermeer,Tanytarsus spp,69
Hijkermeer,others,40
Hijkermeer,unsure,72
Tatra set,Acari spp,6
Tatra set,Background,494
Tatra set,Blurry specimens,236
