Age CE,2012,1992,1982,1974,1966,1945,1916,1899,1872,1840,1808,1776,1744,1712,1680
Depth,0.5,1.5,2.5,4.5,6.5,8.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5
Chironomidae,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chironomini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Orthocladinae,1.5,1,0.5,0,3,2.5,0.5,0,2.5,0,0,1,0.5,0.5,1
Tanytarsini sp,0,4,0,0,0,5.5,0,0.5,4.5,5,0,3,1,0,1.5
Heterotrissocladius marcidus-type,5.5,12.5,3.5,6,3.5,6,10.5,8.5,13.5,13.5,10.5,14,18,3.5,7.5
Micropsectra contracta,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
Micropsectra insignilobus-type,28,41.5,38,34.5,38,50,26,31,26.5,17,29.5,29,19.5,29,12
Tanytarsus lugens,6,1,2,0,1,2,1,0,1,0,0,0,0,1,0
Tanypodinae,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Procladius,1,0,6,1,3,4,4,4,4,3,2,6,0,2,8
Ps sordidellus,3,1,5,0.5,4.5,2.5,2,0,3,1.5,1,0.5,0,3,1
Ps septentrionalis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Corynoneura,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Corynoneura arctica,2,1,2,6,5,4.5,7,7,6,1,3,1,5.5,2,12
Corynoneura type A,1,0,0,0,0,0,0,0.5,0,1,0,2,1,0,0
Eukiefferiella,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0.5,0
Eukiefferiella devonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eukiefferiella claripennis,0,0,1,1,1,0,0,1.5,0,0.5,0,0,1,0,0
Zavrelimyia type A,6,0,3,6,5,13,4,5,7,1,4,5,1,2,5
Orthocladius type S,0,0,0.5,1,0,1,0,0,0,0,2,0,0,0,1
Chaetocladius piger,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0
Chaetocladius dentiforceps,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Thiennemanniella clavicornis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tvetenia bavarica,0,0,5,0,2,1,2.5,1.5,0,2,1,0,2,0,2
Cricotopus,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
Cricotopus intersectus,5,0,0,1.5,1,1,0,1,0,0,1.5,0,0,0,0
Dicrotendipes notatus,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Rheocricotopus fuscipes,0,0,0,0,0,0,0,0.5,0,0.5,1,0,0,0,0
Brillia,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,1,0,0
Smittia,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.5
Diplocladius,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Heleniella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Lymnophies,1,0.5,0,0,0,0,0.5,0,1,1,0,0.5,0,1.5,0
Paratanytarsus sp,0,2,1.5,0,1,0,0,0.5,0,0.5,0,1,0,0.5,1
Pseudorthocladius,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0
Parametriocnemus,0,0,0.5,0,0,0,0.5,0,0,0.5,0.5,0.5,0,0,0
Paracricotopus,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
Metriocnemus terrester,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
