Age CE,2018,2007,2002,2000,1998,1988,1983,1979,1978,1956,1932,1900,1866,1832,1798,1764,1730,1696,1662,1628
Depth,1,3,5,7,9,11,13,15,17,19,20,21,23,25,27,29,31,33,35,37
Chironomidae,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
Tanytarsus lugens,26,113.5,45.5,32.5,79.5,72.5,89,106,95.5,157.5,35,75,74.5,133.5,95,146,72.5,76.5,239,122
Orthocladinae,0,6.5,4.5,1,5.5,3.5,3,4,2,0,1,2.5,0,4,3.5,9,5.5,5,6,8
Heterotrissocladius marcidus-type,3,9,3,3,2,3.5,11,4,2.5,8.5,4,1,9,9.5,9.5,13,11,18,14.5,7.5
Micropsectra insignilobus-type,4,19,3.5,5,23.5,18.5,13,29.5,28,22,1,14.5,22.5,28.5,31,39,36,52.5,58.5,27
Tanypodinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Procladius,3,17,6,3,0,23,25,35,37,35,6,24,23,39,39,38,23,11,78,41
Zavrelimyia type A,0,1,0,0,0,0,3,2,3.5,0,0,1,0,5,2,3,5,3,11,12
Ablabesmyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ps. sordidellus,6,11,3,0.5,4.5,3.5,2,8,6,8.5,0,3.5,5.5,2,3.5,6.5,13,18.5,41.5,25
Tanytarsini,2.5,9.5,2,4,13,3.5,4.5,7.5,5,8.5,1.5,4.5,14.5,10,20,16.5,15.5,9.5,25.5,11.5
Paratanytarsus,1.5,6,2,0,0,0.5,1,3,2,7,0,1,2.5,2.5,4.5,7,1.5,2,3,0
Paratanytarsus type A,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
Paratanytarsus austriacus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Micropsectra type A,0,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Thienemaniella type E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Corynoneura sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Corynoneura edwardsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Corynoneura arctica,1,4,0,0,3,2,1,5,3,9,1,3,2,7,5.5,4,1,7,7,3
Corynoneura carriana,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5,0,0,0,0,0,0
Corynoneura type A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1,2,0
Corynoneura lobata,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Eukiefferiella,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0
Eukiefferiella claripennis,0,1.5,1.25,0,1,0.5,0,1.5,0,3,0,1.5,0,1.5,0,0,0,1,1,2
Eukiefferiella devonica,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0
Eukiefferiella fittkaui,0,0,0.25,0,1,0,0,0,0,0,1.5,1,2,4.5,4.5,6,1.5,10.5,9.5,2
Prodiamesa,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudodiamesa,0,1,0,1,0,0,0,0,0,3.5,0,0.5,1,0,0,1.5,0,0,5.5,1
Pseudosmittia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Smittia,0,1,0,0,0,0,0,0,0,0,0,0,0.5,3,2.5,3.5,9.5,5,6,2
Brillia,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,2.5,0.5,0,1.5,1,1
Orthocladius sp,0,0,0,0,1,0,0,0.5,0,0,2,0,0,0,0,0,0.5,0,0,0
Orthocladius type S,1,2,3,1,1.5,2,1,1,1,2,0,2,0,0.5,1.5,4.5,4,0,3,1.5
Orthocladius type I,0,0,1,0,0,1.5,0,1,0,0,0,1,0,0.5,0,0,0,1.5,1,0
Orthocladius oliveri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Orthocladius trigonolabris,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tvetenia bavarica,1,1,1,1,1,2,1,0,0,2.5,0,1.5,5.5,1,2,4,1,2,6.5,3
Lymnophies,0,0,0,0,0,2,0.5,1,0,0,0,0,3,0.5,2,6.5,0,10.5,7.5,0
Heleniella,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,1.5,0.5,0.5
Chaetocladius piger,1,2,1,0,0,0,0,2,0,0,0.5,0,0,2.5,0,3,0,3,1,1
Chaetocladius dentiforceps,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1.5,1.5,1.5,3.5,2.5,1
Georthocladius,0,0,0,0,0,0,0.5,0,0,1.5,0,0,1,0.5,0,0.5,1.5,1,1,0
Parachaetocladius,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0,0,1,0,0
Paracricotopus,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.5,0.5,0.5
Parametriocnemus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
Cricotopus sylvestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Cricotopus cylindraceus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
Cricotopus type P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
Cricotopus bicinctus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
Cricotopus laricomalis,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,3,2
Cricotopus intersectus,0,0,0,0,0,0.5,2.5,1.5,3,0,0,7,2,5,3,2.5,0.5,3,17,15
Rheocricotopus effesus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0
Rheocricotopus fuscipes,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
Tanytarsus pallidicornis type 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diamesa zerny,0,0,1,0,0,0,0,0,1,0,0,1,0,1.5,0.5,2,7,5.5,6,1
Diplocladius,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0.5,4,3,0,0
Metriocnemus eurynotus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Metriocnemus fuscipes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Pseudorthocladius,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
