Absolute.depth,taxa
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Mentum
715.5,Mentum
715.5,Mentum
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Fragmented hc
715.5,Fragmented hc
715.5,Fragmented hc
715.5,Corynoneura spp
715.5,Corynoneura spp
715.5,Corynoneura spp
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Tanypodinae
715.5,Tanypodinae
715.5,Tanypodinae
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Blurry specimens
715.5,Blurry specimens
715.5,Blurry specimens
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Mandible
715.5,Mandible
715.5,Mandible
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Acari spp
715.5,Acari spp
715.5,Acari spp
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Chaoborus th
715.5,Chaoborus th
715.5,Chaoborus th
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Blurry specimens
715.5,Blurry specimens
715.5,Blurry specimens
715.5,Acari spp
715.5,Acari spp
715.5,Acari spp
715.5,Tanypodinae
715.5,Tanypodinae
715.5,Tanypodinae
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Micropsectra insignilobus
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Chaoborus mandible
715.5,Chaoborus mandible
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Chaoborus mandible
718.5,Chaoborus mandible
718.5,Chaoborus mandible
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Chaoborus mandible
718.5,Chaoborus mandible
718.5,Chaoborus mandible
718.5,Chaoborus mandible
718.5,Chaoborus mandible
718.5,Chaoborus mandible
718.5,Chaoborus mandible
718.5,Chaoborus mandible
718.5,Chaoborus mandible
718.5,Chaoborus mandible
718.5,Chaoborus mandible
718.5,Chaoborus mandible
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Corynoneura spp
718.5,Corynoneura spp
718.5,Corynoneura spp
718.5,Particles
718.5,Particles
718.5,Particles
718.5,Fragmented hc
718.5,Fragmented hc
718.5,Fragmented hc
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Chaoborus mandible
718.5,Chaoborus mandible
718.5,Chaoborus mandible
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Corynoneura spp
718.5,Corynoneura spp
718.5,Corynoneura spp
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
718.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Tanypodinae
725.5,Tanypodinae
725.5,Tanypodinae
725.5,Tanypodinae
725.5,Tanypodinae
725.5,Tanypodinae
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Chaoborus mandible
725.5,Chaoborus mandible
