T.WATER,size_manual,Taxa,size_automatic,lake
8.655123,276.191631578947,Tanytarsus lugens,405.9130808027778,Tatra set
8.655123,235.053285714286,Tanytarsus lugens,378.5894715625,Tatra set
8.655123,275.983,Tanytarsus lugens,458.08858480000004,Tatra set
9.23283,262.1515,Tanytarsus lugens,418.97665516666666,Tatra set
9.133364,259.26325,Tanytarsus lugens,410.07324338750004,Tatra set
7.655432,243.701875,Tanytarsus lugens,397.37626445,Tatra set
7.655432,261.082,Tanytarsus lugens,373.44100365,Tatra set
7.655432,271.101,Tanytarsus lugens,407.7952912,Tatra set
9.465327,269.159107142857,Tanytarsus lugens,429.25270788333336,Tatra set
9.465327,257.41525,Tanytarsus lugens,430.65785872241383,Tatra set
9.465327,265.545615384615,Tanytarsus lugens,435.03307848846157,Tatra set
9.465327,222.38825,Tanytarsus lugens,409.68178707500005,Tatra set
9.465327,222.556384615385,Tanytarsus lugens,393.6270424625,Tatra set
10.020351,228.957818181818,Tanytarsus lugens,387.51872417500005,Tatra set
6.47015,286.10447826087,Tanytarsus lugens,392.91674252187505,Tatra set
6.47015,276.456,Tanytarsus lugens,437.12122124,Tatra set
6.47015,243.21925,Tanytarsus lugens,403.113406025,Tatra set
11.960165,250.265111111111,Tanytarsus lugens,420.0269811964286,Tatra set
11.960165,253.822,Tanytarsus lugens,425.07788042500005,Tatra set
11.960165,209.161666666667,Tanytarsus lugens,347.24057335000003,Tatra set
8.844821,278.831647058824,Tanytarsus lugens,431.98204115000004,Tatra set
8.844821,295.591405405405,Tanytarsus lugens,449.1805548717949,Tatra set
8.844821,266.577214285714,Tanytarsus lugens,380.9041141608108,Tatra set
8.844821,290.093209302326,Tanytarsus lugens,447.80081751428577,Tatra set
7.739482,262.038357142857,Tanytarsus lugens,414.6029284692308,Tatra set
7.739482,255.497826086957,Tanytarsus lugens,392.81853051309525,Tatra set
7.739482,222.666769230769,Tanytarsus lugens,368.85389690769233,Tatra set
9.618131,261.6485,Tanytarsus lugens,457.603197425,Tatra set
9.618131,208.535291666667,Tanytarsus lugens,351.8448282351852,Tatra set
9.23283,249.854583333333,Tanytarsus lugens,394.76316715,Tatra set
6.382469,251.559928571429,Tanytarsus lugens,390.124701062963,Tatra set
6.382469,256.524,Tanytarsus lugens,488.0458771833334,Tatra set
9.43448,216.835903225806,Tanytarsus lugens,405.7907592666667,Tatra set
6.775371,248.489386363636,Tanytarsus lugens,408.9630554921569,Tatra set
7.456725,233.907833333333,Tanytarsus lugens,308.1414351888889,Tatra set
8.9892,195.645222222222,Tanytarsus lugens,343.16250465,Tatra set
6.82161,208.692565217391,Micropsectra radialis,416.77392777307693,Tatra set
6.82161,203.922272727273,Micropsectra radialis,398.12768250000005,Tatra set
10.876525000000001,230.5813,Micropsectra radialis,469.48648223529415,Tatra set
7.655432,229.542944444444,Micropsectra radialis,496.89948345000005,Tatra set
7.655432,184.185230769231,Micropsectra radialis,412.61612470833336,Tatra set
7.655432,170.1894,Micropsectra radialis,358.31939678333333,Tatra set
9.465327,278.86932,Micropsectra radialis,583.5846323738095,Tatra set
9.465327,214.615235294118,Micropsectra radialis,419.9850248,Tatra set
9.465327,188.592258064516,Micropsectra radialis,389.2825906240741,Tatra set
9.465327,159.658222222222,Micropsectra radialis,385.46209223076926,Tatra set
9.465327,185.124315789474,Micropsectra radialis,400.79410477857147,Tatra set
5.964104,216.9877,Micropsectra radialis,480.0019690354167,Tatra set
5.964104,215.388111111111,Micropsectra radialis,441.54090807750003,Tatra set
6.47015,219.832666666667,Micropsectra radialis,429.8240936,Tatra set
6.47015,209.287,Micropsectra radialis,463.93453370000003,Tatra set
8.844821,233.2006,Micropsectra radialis,504.2069526312501,Tatra set
8.844821,254.6157,Micropsectra radialis,521.567365488889,Tatra set
8.844821,207.8372,Micropsectra radialis,437.5815106666667,Tatra set
8.844821,207.090384615385,Micropsectra radialis,469.1923891233334,Tatra set
5.508678,216.043111111111,Micropsectra radialis,424.8246093,Tatra set
5.508678,223.782,Micropsectra radialis,496.40521033125003,Tatra set
7.739482,179.043666666667,Micropsectra radialis,377.79309315,Tatra set
7.739482,176.786357142857,Micropsectra radialis,406.25002077000005,Tatra set
7.739482,255.539,Micropsectra radialis,477.37655185000006,Tatra set
