id,image,label,sample,m_majorAxis
1,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region1_Rectangle (5954,unsure,30_Br1_.scn - Ana 1 Cm a_,161.15979
2,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region1_Rectangle (5954,Fragmented hc,30_Br1_.scn - Ana 1 Cm a_,79.916679
3,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region1_Rectangle (5954,Fragmented hc,30_Br1_.scn - Ana 1 Cm a_,108.055878
4,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region1_Rectangle (5954,Fragmented hc,30_Br1_.scn - Ana 1 Cm a_,51.171146
5,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region1_Rectangle (5954,Fragmented hc,30_Br1_.scn - Ana 1 Cm a_,43.484802
6,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region1_Rectangle (5954,Fragmented hc,30_Br1_.scn - Ana 1 Cm a_,87.747841
7,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region1_Rectangle (5954,Chironomus spp,30_Br1_.scn - Ana 1 Cm a_,195.771881
8,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region1_Rectangle (5954,Multiple,30_Br1_.scn - Ana 1 Cm a_,391.892059
9,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region1_Rectangle (5954,Background,30_Br1_.scn - Ana 1 Cm a_,218.991272
10,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region1_Rectangle (5954,Heterotrissocladius marcidus,30_Br1_.scn - Ana 1 Cm a_,128.157547
11,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region1_Rectangle (5954,Background,30_Br1_.scn - Ana 1 Cm a_,186.070328
12,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region1_Rectangle (5954,Tanytarsus lugens,30_Br1_.scn - Ana 1 Cm a_,249.443878
13,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region1_Rectangle (5954,Background,30_Br1_.scn - Ana 1 Cm a_,210.409698
14,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region1_Rectangle (5954,Chaoborus th,30_Br1_.scn - Ana 1 Cm a_,232.566681
15,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region2_Rectangle (23936,Fragmented hc,30_Br1_.scn - Ana 1 Cm a_,78.908226
16,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region2_Rectangle (23936,Fragmented hc,30_Br1_.scn - Ana 1 Cm a_,52.441986
17,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region2_Rectangle (23936,Heterotrissocladius marcidus,30_Br1_.scn - Ana 1 Cm a_,125.354294
18,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region2_Rectangle (23936,Psectrocladius spp,30_Br1_.scn - Ana 1 Cm a_,193.410782
19,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region2_Rectangle (23936,Micropsectra radialis,30_Br1_.scn - Ana 1 Cm a_,414.954102
20,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region2_Rectangle (23936,Pentaneurini spp,30_Br1_.scn - Ana 1 Cm a_,95.053131
21,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region2_Rectangle (23936,Fragmented hc,30_Br1_.scn - Ana 1 Cm a_,50.315086
22,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region2_Rectangle (23936,unsure,30_Br1_.scn - Ana 1 Cm a_,129.466492
23,D:\insectPtemp_repo\images\Segmented images_lake Ana\30_Br1_.scn - Ana 1 Cm a_b\region2_Rectangle (23936,Fragmented hc,30_Br1_.scn - Ana 1 Cm a_,138.837021
