id,image,label,sample,m_majorAxis
1,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0017-HIJ B7C1 0-1,Acari spp,0017-HIJ B7C1 0-1,123.183052
2,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0031-HIJ B7C1 0-1,Acari spp,0031-HIJ B7C1 0-1,153.258118
3,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0038-HIJ B7C1 0-1,Acari spp,0038-HIJ B7C1 0-1,70.901657
4,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0042-HIJ B7C1 0-1,Acari spp,0042-HIJ B7C1 0-1,174.351883
5,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0045-HIJ B7C1 0-1,Acari spp,0045-HIJ B7C1 0-1,160.304703
6,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0052-HIJ B7C1 0-1,Acari spp,0052-HIJ B7C1 0-1,113.222763
7,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0053-HIJ B7C1 0-1,Acari spp,0053-HIJ B7C1 0-1,104.599968
8,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0054-HIJ B7C1 0-1,Acari spp,0054-HIJ B7C1 0-1,150.620117
9,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0089-HIJ B7C1 10-11,Acari spp,0089-HIJ B7C1 10-11,138.012695
10,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0090-HIJ B7C1 10-11,Acari spp,0090-HIJ B7C1 10-11,73.645744
11,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0099-HIJ B7C1 10-11,Acari spp,0099-HIJ B7C1 10-11,90.242584
12,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0108-HIJ B7C1 10-11,Acari spp,0108-HIJ B7C1 10-11,134.708832
13,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0126-HIJ B7C1 10-11,Acari spp,0126-HIJ B7C1 10-11,87.185173
14,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0127-HIJ B7C1 10-11,Acari spp,0127-HIJ B7C1 10-11,166.087936
15,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0128-HIJ B7C1 10-11,Acari spp,0128-HIJ B7C1 10-11,109.001434
16,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0132-HIJ B7C1 11-12,Acari spp,0132-HIJ B7C1 11-12,71.27877
17,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0133-HIJ B7C1 11-12,Acari spp,0133-HIJ B7C1 11-12,85.116257
18,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0134-HIJ B7C1 11-12,Acari spp,0134-HIJ B7C1 11-12,86.869629
19,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0135-HIJ B7C1 11-12,Acari spp,0135-HIJ B7C1 11-12,90.14151
20,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0137-HIJ B7C1 11-12,Acari spp,0137-HIJ B7C1 11-12,140.193115
21,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0140-HIJ B7C1 11-12,Acari spp,0140-HIJ B7C1 11-12,45.873455
22,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0141-HIJ B7C1 11-12,Acari spp,0141-HIJ B7C1 11-12,55.159317
23,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0145-HIJ B7C1 11-12,Acari spp,0145-HIJ B7C1 11-12,95.988205
24,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0148-HIJ B7C1 11-12,Acari spp,0148-HIJ B7C1 11-12,114.580528
25,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0149-HIJ B7C1 11-12,Acari spp,0149-HIJ B7C1 11-12,70.995949
26,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0151-HIJ B7C1 11-12,Acari spp,0151-HIJ B7C1 11-12,177.231567
