id,image,label,sample,m_majorAxis,Age
1,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,Psectrocladius spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,757.567566,1572
2,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,135.496826,1572
3,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,288.187653,1572
4,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,17.005606,1572
5,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,Pollen,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,31.209455,1572
6,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,Corynoneura spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,134.232956,1572
7,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,Corynoneura spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,116.578156,1572
8,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,118.344963,1572
9,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,216.182114,1572
10,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,Tanypodinae,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,287.395691,1572
11,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,Psectrocladius spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,236.316727,1572
12,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,95.36879,1572
13,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,Pollen,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,118.061745,1572
14,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,895.007141,1572
15,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,Psectrocladius spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,517.165894,1572
16,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,Psectrocladius spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,336.087646,1572
17,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,Psectrocladius spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [1526,167.978546,1572
18,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,Psectrocladius spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,428.575623,1572
19,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,Multiple,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,1735.973389,1572
20,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,Diatom,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,63.700027,1572
