id,image,label,sample,m_majorAxis
1,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Acari\0005-ROY 09 5b-3 14-15.czi - ScanRegion14.jpg,Acari spp,0005-ROY 09 5b-3 14-15.czi - ScanRegion1,49.77071
2,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Acari\0013-ROY 09 5b-3 14-15.czi - ScanRegion4.jpg,Acari spp,0013-ROY 09 5b-3 14-15.czi - ScanRegion,102.297012
3,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Acari\0095-ROY 09 5b-3 2 42-43check_2.czi - ScanRegion3.jpg,Acari spp,0095-ROY 09 5b-3 2 42-43check_2.czi - ScanRegion,100.264046
4,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Acari\0161-ROY 09 5b-3 24-25_7.czi - ScanRegion6.jpg,Acari spp,0161-ROY 09 5b-3 24-25_7.czi - ScanRegion,69.917351
5,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Acari\0291-ROY 09 5b-3 34-35.czi - ScanRegion18.jpg,Chironomus spp,0291-ROY 09 5b-3 34-35.czi - ScanRegion1,136.981308
6,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Acari\0295-ROY 09 5b-3 34-35.czi - ScanRegion18.jpg,Acari spp,0295-ROY 09 5b-3 34-35.czi - ScanRegion1,128.115799
7,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Acari\0689-ROY 09 6a-2 58-59_1.czi - ScanRegion12.jpg,Blurry specimens,0689-ROY 09 6a-2 58-59_1.czi - ScanRegion1,71.377121
8,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Acari\1528-ROY 09 A 6a-2 48-49_1.czi - ScanRegion2.jpg,Acari spp,1528-ROY 09 A 6a-2 48-49_1.czi - ScanRegion,151.843399
9,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Acari\1614-ROY 09 A 6a-2 53-54_2.czi - ScanRegion8.jpg,Acari spp,1614-ROY 09 A 6a-2 53-54_2.czi - ScanRegion,40.666729
10,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Acari\1669-ROY 09 A 6a-2 70-71.czi - ScanRegion13.jpg,Acari spp,1669-ROY 09 A 6a-2 70-71.czi - ScanRegion1,183.767868
11,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Acari\1744-ROY 09 A 6a-2 73-74_1.czi - ScanRegion19.jpg,Acari spp,1744-ROY 09 A 6a-2 73-74_1.czi - ScanRegion1,56.587639
12,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Acari\1746-ROY 09 A 6a-2 73-74_1.czi - ScanRegion19.jpg,Acari spp,1746-ROY 09 A 6a-2 73-74_1.czi - ScanRegion1,97.354774
13,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\0207-ROY 09 5b-3 29-30_1.czi - ScanRegion16.jpg,Background,0207-ROY 09 5b-3 29-30_1.czi - ScanRegion1,60.460209
14,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\0214-ROY 09 5b-3 29-30_2.czi - ScanRegion4.jpg,Micropsectra radialis,0214-ROY 09 5b-3 29-30_2.czi - ScanRegion,95.615852
15,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\0226-ROY 09 5b-3 32-33.czi - ScanRegion21.jpg,Corynoneura spp,0226-ROY 09 5b-3 32-33.czi - ScanRegion2,78.111771
16,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\0367-ROY 09 5b-3 44-45.czi - ScanRegion1.jpg,unsure,0367-ROY 09 5b-3 44-45.czi - ScanRegion,81.048775
