id,image,label,sample,m_majorAxis
1,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Fragmented hc,100_Br2_.scn - Peleagea_xc,74.107399
2,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Heterotrissocladius marcidus,100_Br2_.scn - Peleagea_xc,271.64624
3,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Fragmented hc,100_Br2_.scn - Peleagea_xc,152.79924
4,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Fragmented hc,100_Br2_.scn - Peleagea_xc,425.44223
5,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Corynoneura spp,100_Br2_.scn - Peleagea_xc,177.458969
6,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Fragmented hc,100_Br2_.scn - Peleagea_xc,132.047028
7,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Particles,100_Br2_.scn - Peleagea_xc,252.248871
8,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Fragmented hc,100_Br2_.scn - Peleagea_xc,320.30777
9,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Fragmented hc,100_Br2_.scn - Peleagea_xc,143.649216
10,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Fragmented hc,100_Br2_.scn - Peleagea_xc,73.423622
11,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Fragmented hc,100_Br2_.scn - Peleagea_xc,141.211182
12,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Background,100_Br2_.scn - Peleagea_xc,0
13,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Tanypodinae,100_Br2_.scn - Peleagea_xc,111.29969
14,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Background,100_Br2_.scn - Peleagea_xc,113.749191
15,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Background,100_Br2_.scn - Peleagea_xc,200.31189
16,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Fragmented hc,100_Br2_.scn - Peleagea_xc,255.930435
17,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Micropsectra insignilobus,100_Br2_.scn - Peleagea_xc,272.457581
18,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Multiple,100_Br2_.scn - Peleagea_xc,287.895874
19,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Background,100_Br2_.scn - Peleagea_xc,163.669205
20,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Fragmented hc,100_Br2_.scn - Peleagea_xc,561.728882
21,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region1_Rectangle (22438,Chaoborus mandible,100_Br2_.scn - Peleagea_xc,44.956688
22,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region2_Rectangle (692,Background,100_Br2_.scn - Peleagea_xc,75.01049
23,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region2_Rectangle (692,Heterotrissocladius marcidus,100_Br2_.scn - Peleagea_xc,150.27182
24,D:\insectPtemp_repo\images\Segmented images_Peleaga\100_Br2_.scn - Peleagea_xcm\region2_Rectangle (692,Tanytarsus lugens,100_Br2_.scn - Peleagea_xc,262.272125
