id,image,label,Lake,sample,m_majorAxis
1,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\blurry\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [1336,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [1336,602.816223
2,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\blurry\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [13573,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [13573,554.46637
2847,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [13573,Background,Satanie,1_B_Satanie pliso.scn  2 [13573,145.88414
3,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\blurry\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [2503,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [2503,635.633118
185,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Corynoneura arctica type\Corynoneura arctica type-1_B_Satanie pliso.scn  2 [35399,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [35399,502.092163
186,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Corynoneura arctica type\Corynoneura arctica type-1_B_Satanie pliso.scn  2 [35525,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [35525,478.008148
4766,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [37289,Tanytarsus spp,Satanie,1_B_Satanie pliso.scn  2 [37289,588.481995
4767,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [38744,Tanytarsus lugens,Satanie,1_B_Satanie pliso.scn  2 [38744,643.145142
4768,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [39212,Tanytarsus lugens,Satanie,1_B_Satanie pliso.scn  2 [39212,677.540771
4769,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [39370,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [39370,558.190796
4770,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [41309,Tanytarsus spp,Satanie,1_B_Satanie pliso.scn  2 [41309,732.860229
4771,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [45813,Tanytarsus spp,Satanie,1_B_Satanie pliso.scn  2 [45813,543.662537
4,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\blurry\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [48436,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [48436,568.561096
5,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\blurry\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [65291,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [65291,343.248627
6,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\blurry\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [65291,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [65291,163.913055
7,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\blurry\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [65291,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [65291,344.354462
2848,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [65291,Background,Satanie,1_B_Satanie pliso.scn  2 [65291,134.208557
4772,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [65908,Tanytarsus spp,Satanie,1_B_Satanie pliso.scn  2 [65908,625.726929
4026,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [66534,Background,Satanie,1_B_Satanie pliso.scn  2 [66534,137.973709
4672,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsini juvenile-1_B_Satanie pliso.scn  2 [68627,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [68627,317.787384
4773,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [69778,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [69778,618.278564
453,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Heterotrissocladius marcidus\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [71019,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [71019,423.109863
2849,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [71019,Background,Satanie,1_B_Satanie pliso.scn  2 [71019,347.464996
454,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Heterotrissocladius marcidus\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [71037,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [71037,372.836761
4027,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [72056,Background,Satanie,1_B_Satanie pliso.scn  2 [72056,211.066376
4774,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [72056,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [72056,611.261719
30,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\blurry\Tanytarsini juvenile-1_B_Satanie pliso.scn  2 [72102,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [72102,428.477661
964,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\mentum\Prodiamesa olivacea-10_B_Malizabie Javovove pliso.scn  3 [10955,Fragmented hc,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [10955,527.749329
4528,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Micropsectra type A-10_B_Malizabie Javovove pliso.scn  3 [11423,Tanytarsus spp,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [11423,856.786194
4973,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsus  lugens\Tanytarsus lugens-10_B_Malizabie Javovove pliso.scn  3 [1173,Tanytarsus lugens,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [1173,828.92749
4974,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsus  lugens\Tanytarsus lugens-10_B_Malizabie Javovove pliso.scn  3 [1479,Tanytarsus lugens,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [1479,836.849182
933,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\mandible\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [1908,Mandible,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [1908,180.831406
2556,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Paratanytarsus austriacus\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [1908,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [1908,533.245178
3171,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [1908,Particles,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [1908,138.415756
4620,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [32922,Orthocladiinae Diamesinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [32922,572.194641
4621,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [34012,Micropsectra radialis,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [34012,669.989075
2557,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Paratanytarsus austriacus\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [3545,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [3545,536.579651
4622,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [36376,Orthocladiinae Diamesinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [36376,647.824341
3172,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [3690,Particles,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [3690,93.029335
3173,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [3690,Tanypodinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [3690,118.727974
4623,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [3690,Fragmented hc,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [3690,368.971069
4624,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [37825,Orthocladiinae Diamesinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [37825,702.094849
4625,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [38287,Heterotrissocladius marcidus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [38287,665.512268
4626,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [39056,Heterotrissocladius marcidus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [39056,631.978699
4627,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [39922,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [39922,398.406372
4628,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [40140,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [40140,615.956726
2023,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Orthocladiinae#Diamesinae\Diamesa-10_B_Malizabie Javovove pliso.scn  3 [40379,Orthocladiinae Diamesinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [40379,656.059326
4629,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [40773,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [40773,670.78772
3174,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [40881,Particles,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [40881,96.148872
4630,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [40881,Fragmented hc,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [40881,638.445435
4631,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [42010,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [42010,658.122131
2558,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Paratanytarsus austriacus\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [42051,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [42051,469.264404
4632,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [43990,Orthocladiinae Diamesinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [43990,656.662537
4529,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Micropsectra type A-10_B_Malizabie Javovove pliso.scn  3 [44002,Tanytarsus spp,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [44002,1025.086548
4633,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [44287,Orthocladiinae Diamesinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [44287,679.238281
2559,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Paratanytarsus austriacus\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [5476,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [5476,579.910095
