"","Lake","Temperature","Depth","Taxa_lake","Taxa","size","count","data_type"
"1","laguna de Rio Seco",10.20057646,126.3,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",588.9395899,22,"downcore"
"2","laguna de Rio Seco",10.20057646,126.3,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",762.3290994,23,"downcore"
"3","laguna de Rio Seco",10.20057646,126.3,"Chironomus spp.laguna de Rio Seco","Chironomus spp",439.616302,8,"downcore"
"4","laguna de Rio Seco",10.20057646,126.3,"Heterotrissocladius marcidus.laguna de Rio Seco","Heterotrissocladius marcidus",229.137695,11,"downcore"
"5","laguna de Rio Seco",10.20057646,126.3,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",483.8402431,21,"downcore"
"6","laguna de Rio Seco",10.20057646,126.3,"Tanypodinae.laguna de Rio Seco","Tanypodinae",422.917419,16,"downcore"
"7","laguna de Rio Seco",10.39343062,124.25,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",736.1539044,23,"downcore"
"8","laguna de Rio Seco",10.39343062,124.25,"Pentaneurini spp.laguna de Rio Seco","Pentaneurini spp",614.622559,7,"downcore"
"9","laguna de Rio Seco",10.39343062,124.25,"Orthocladiinae Diamesinae.laguna de Rio Seco","Orthocladiinae Diamesinae",663.668396,17,"downcore"
"10","laguna de Rio Seco",10.39343062,124.25,"Heterotrissocladius marcidus.laguna de Rio Seco","Heterotrissocladius marcidus",639.5589905,11,"downcore"
"11","laguna de Rio Seco",10.39343062,124.25,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",354.2473449,21,"downcore"
"12","laguna de Rio Seco",10.39343062,124.25,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",677.73848,22,"downcore"
"13","laguna de Rio Seco",10.39343062,124.25,"Tanypodinae.laguna de Rio Seco","Tanypodinae",1459.410156,16,"downcore"
"14","laguna de Rio Seco",10.4496554,128.35,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",602.0302771,22,"downcore"
"15","laguna de Rio Seco",10.4496554,128.35,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",298.9428176,21,"downcore"
"16","laguna de Rio Seco",10.4496554,128.35,"Orthocladiinae Diamesinae.laguna de Rio Seco","Orthocladiinae Diamesinae",419.3363495,17,"downcore"
"17","laguna de Rio Seco",10.4496554,128.35,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",715.2464903,23,"downcore"
"18","laguna de Rio Seco",10.45344855,110.8,"Orthocladiinae Diamesinae.laguna de Rio Seco","Orthocladiinae Diamesinae",1486.922607,17,"downcore"
"19","laguna de Rio Seco",10.45344855,110.8,"Tanypodinae.laguna de Rio Seco","Tanypodinae",814.421753,16,"downcore"
"20","laguna de Rio Seco",10.45344855,110.8,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",315.5219114,21,"downcore"
"21","laguna de Rio Seco",10.45344855,110.8,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",663.2678196,23,"downcore"
"22","laguna de Rio Seco",10.45344855,110.8,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",576.7449722,22,"downcore"
"23","laguna de Rio Seco",10.5476913,131.45,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",727.788319,23,"downcore"
"24","laguna de Rio Seco",10.5476913,131.45,"Orthocladiinae Diamesinae.laguna de Rio Seco","Orthocladiinae Diamesinae",1711.403076,17,"downcore"
"25","laguna de Rio Seco",10.5476913,131.45,"Heterotrissocladius marcidus.laguna de Rio Seco","Heterotrissocladius marcidus",752.930008,11,"downcore"
"26","laguna de Rio Seco",10.5476913,131.45,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",603.6957185,22,"downcore"
"27","laguna de Rio Seco",10.5476913,131.45,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",371.274662,21,"downcore"
"28","laguna de Rio Seco",10.5476913,131.45,"Chironomus spp.laguna de Rio Seco","Chironomus spp",938.876831,8,"downcore"
"29","laguna de Rio Seco",10.69198765,114.95,"Limnophyes type.laguna de Rio Seco","Limnophyes type",126.313461,1,"downcore"
"30","laguna de Rio Seco",10.69198765,114.95,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",775.0898078,23,"downcore"
"31","laguna de Rio Seco",10.69198765,114.95,"Orthocladiinae Diamesinae.laguna de Rio Seco","Orthocladiinae Diamesinae",995.764404,17,"downcore"
"32","laguna de Rio Seco",10.69198765,114.95,"Tanypodinae.laguna de Rio Seco","Tanypodinae",640.684204,16,"downcore"
"33","laguna de Rio Seco",10.69198765,114.95,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",381.8917526,21,"downcore"
"34","laguna de Rio Seco",10.69198765,114.95,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",602.743494,22,"downcore"
"35","laguna de Rio Seco",10.88091502,113.9,"Heterotrissocladius marcidus.laguna de Rio Seco","Heterotrissocladius marcidus",948.355347,11,"downcore"
"36","laguna de Rio Seco",10.88091502,113.9,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",685.6780977,23,"downcore"
"37","laguna de Rio Seco",10.88091502,113.9,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",605.98813,22,"downcore"
"38","laguna de Rio Seco",10.88091502,113.9,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",379.3790065,21,"downcore"
"39","laguna de Rio Seco",10.88091502,113.9,"Tanypodinae.laguna de Rio Seco","Tanypodinae",181.849609,16,"downcore"
"40","laguna de Rio Seco",10.88091502,113.9,"Orthocladiinae Diamesinae.laguna de Rio Seco","Orthocladiinae Diamesinae",1427.831665,17,"downcore"
