id,image,label,Lake,sample,m_majorAxis,id1
1,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\blurry\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [1336,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [1336,331.54892265000007,1
2,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\blurry\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [13573,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [13573,304.9565035,1
2847,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [13573,Background,Satanie,1_B_Satanie pliso.scn  2 [13573,80.236277,1
3,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\blurry\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [2503,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [2503,349.5982149,1
185,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Corynoneura arctica type\Corynoneura arctica type-1_B_Satanie pliso.scn  2 [35399,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [35399,276.15068965000006,1
186,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Corynoneura arctica type\Corynoneura arctica type-1_B_Satanie pliso.scn  2 [35525,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [35525,262.9044814,1
4766,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [37289,Tanytarsus spp,Satanie,1_B_Satanie pliso.scn  2 [37289,323.66509725000003,1
4767,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [38744,Tanytarsus lugens,Satanie,1_B_Satanie pliso.scn  2 [38744,353.7298281,1
4768,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [39212,Tanytarsus lugens,Satanie,1_B_Satanie pliso.scn  2 [39212,372.64742405,1
4769,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [39370,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [39370,307.0049378,1
4770,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [41309,Tanytarsus spp,Satanie,1_B_Satanie pliso.scn  2 [41309,403.07312595,1
4771,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [45813,Tanytarsus spp,Satanie,1_B_Satanie pliso.scn  2 [45813,299.01439535000003,1
4,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\blurry\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [48436,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [48436,312.70860280000005,1
5,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\blurry\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [65291,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [65291,188.78674485000002,1
6,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\blurry\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [65291,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [65291,90.15218025000001,1
7,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\blurry\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [65291,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [65291,189.39495410000004,1
2848,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [65291,Background,Satanie,1_B_Satanie pliso.scn  2 [65291,73.81470635000001,1
