Taxa,Satanie,Male Zabie Javorov,Nizne Kozie,Cierne Kezmarske,Nizne Temnosmrecinske,Male Zabie,Dolne Rohacske,Dlhe Velicke,Puste,Vysne Furkotske,Velke Biele,Batizovske,Zelene Kacacie,Zabie Javorove,Vysne Temnosmrecinske,Vysne Terianske,Slavkovske,Horne Rohacske,Vysne Wahlenbergovo,Male Hincovo,Ladove,Vysne Rackovo,Dracie pleso,Nizne Rakytovske,Nizne Rumanovo,Nizne Zabie Bielovodske,Ladove v Zlomiskach,Prostredne Sive,Vysne Zabie Bielovodske,Velicke,Kolove,Litvorove,Vysne Smrekovicke,Nizne Spisske,Velke Spisske,Studene,Strelecke,Starolesnianske pleso,Prostredne Zbojnicke ples,Toporowy Staw,Smreczinsky Staw,Zmarzly Staw,Zielony Staw Gasienicowy,Morskie Oko,Czarny Staw pod Rysami,Czarny Staw Gasieniczowy,Litworowy Staw,Kurtkowiec,Wielki Staw Polski,Zadni Staw Polski,Czarny Staw Polski,Przedni Staw Polski
Ablabesmyia sp.,,,,,,,,,,,,,,,,,,?,?,?,?,,,2,,,,,,,,,5,,,,,?,?,,10,,1,2,,,,,,,1,2
Macropelopia sp.,,5,,1,,7,4,,,14,7,,5,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
Procladius sp.,2,,,8,22,3,8,,19,,,4,,,11,,33,15,,6,,1,1,42,,4,,1,4,5,7,,14,5,3,10,9,19,2,1,4,,1,2,2,2,3,2,1,8,1,3
Zavrelimyia sp.,,,,,27,,2,,,,4,,,,1,,3,2,,,,1,,,,3,,1,12,,,,,,,,,,,,,,1,1,2,6,,8,8,,2,2
Diamesa spp.,,2,5,,,,,1,,,3,,27,6,,3,,,,,,2,,,,,,,,10,,1,,,,,,,2,,,6,,8,15,1.5,2,,2,,,1
Pseuodiamesa nivosa,,,24,,,,,11,2,9,,,,36,,17,,,9,,18,,4,,98.5,,3.5,,,,9.5,9,,,1,,,,,,,4,,,,,,,,,,
Pseudodiamesa branickii,,14,,,,,,,,1,13,7,6,1,,,,,,,,3,,,,1,,,,2.5,,,,,,2,,,,,,2,,,1,1,3.5,,,,,1
Pseudokiefferiella parva,,,,,,,,,,,,,1,2,,5,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,2,,,,,,,,
Prodiamesa olivacea,,2,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,1,,,,,,,
Brillia bifida,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
